member_id,loan_status,int_rate,Bin_int,dti,Bin_dti,Default_flag,No_of_Enquiry,enq_buckets,annual_inc,Income_bins,home_ownership,purpose,open_acc,emp_length,verification_status,delinq_2yrs,loan_amnt,Bins_loan_amt
LC1,Charged Off,11.71%,10,1.06,2,1,0,0,110000,9,MORTGAGE,credit_card,6,LT 1year,Not Verified,0,7000,6
LC10,Fully Paid,15.96%,16,2.61,3,0,1,1-4,135000,11,RENT,other,3,10+ years,Source Verified,0,2000,2
LC100,Fully Paid,10.65%,8,11.34,11,0,1,1-4,75000,6,MORTGAGE,educational,7,2 years,Source Verified,0,12000,10
LC1000,Fully Paid,12.69%,11,14,14,0,1,1-4,51000,4,RENT,credit_card,5,1 year,Source Verified,0,9350,8
LC10000,Fully Paid,19.69%,22,13.01,13,0,0,0,41500,3,MORTGAGE,debt_consolidation,8,10+ years,Verified,0,6000,5
LC10001,Fully Paid,5.42%,1,11.3,11,0,0,0,53200.08,4,MORTGAGE,debt_consolidation,5,9 years,Verified,0,10000,8
LC10002,Fully Paid,20.25%,23,5,5,0,3,1-4,160000,12,MORTGAGE,medical,4,3 years,Not Verified,0,6400,5
LC10003,Fully Paid,11.49%,10,10.17,10,0,0,0,95000,7,RENT,credit_card,7,4 years,Not Verified,0,12000,10
LC10004,Fully Paid,8.49%,5,24.16,24,0,1,1-4,82000,6,RENT,other,6,5 years,Not Verified,0,1925,2
LC10005,Fully Paid,15.99%,16,13.51,14,0,2,1-4,50000,4,MORTGAGE,debt_consolidation,9,3 years,Source Verified,0,9400,8
LC10006,Fully Paid,10.99%,9,21.33,21,0,0,0,36228,3,RENT,credit_card,14,5 years,Source Verified,0,17700,15
LC10007,Fully Paid,12.99%,12,14.18,14,0,0,0,45600,4,MORTGAGE,medical,13,7 years,Verified,0,15000,13
LC10008,Charged Off,8.49%,5,5.26,6,1,1,1-4,22800,2,RENT,debt_consolidation,6,n/a,Verified,2,5000,4
LC10009,Charged Off,17.49%,19,18.72,19,1,0,0,25000,2,RENT,debt_consolidation,12,2 years,Source Verified,1,15000,13
LC1001,Fully Paid,12.42%,11,23.32,23,0,3,1-4,78885,6,OWN,educational,7,7 years,Not Verified,0,1000,1
LC10010,Fully Paid,16.89%,18,11.36,11,0,0,0,43000,3,RENT,debt_consolidation,20,10+ years,Verified,1,20125,17
LC10011,Fully Paid,6.99%,3,13.24,13,0,0,0,95000,7,MORTGAGE,debt_consolidation,17,6 years,Not Verified,0,24000,20
LC10012,Fully Paid,10.59%,8,22.72,22,0,2,1-4,80038,6,RENT,other,5,10+ years,Not Verified,0,1500,1
LC10013,Fully Paid,13.49%,13,23.94,24,0,1,1-4,38400,3,OWN,small_business,6,6 years,Verified,0,13700,12
LC10014,Fully Paid,16.89%,18,11.04,11,0,0,0,207996,16,MORTGAGE,debt_consolidation,11,10+ years,Not Verified,0,15250,13
LC10015,Fully Paid,8.49%,5,8.71,9,0,4,1-4,105000,8,MORTGAGE,house,8,8 years,Verified,0,8000,7
LC10016,Fully Paid,10.99%,9,29.77,29,0,0,0,51996,4,MORTGAGE,debt_consolidation,10,8 years,Not Verified,0,16000,14
LC10017,Fully Paid,10.59%,8,22.92,23,0,3,1-4,30000,2,RENT,major_purchase,8,1 year,Not Verified,0,7500,6
LC10018,Fully Paid,13.49%,13,1.56,2,0,0,0,40000,3,RENT,debt_consolidation,6,2 years,Source Verified,0,9550,8
LC10019,Fully Paid,9.99%,7,9.11,9,0,0,0,84000,7,MORTGAGE,debt_consolidation,16,LT 1year,Not Verified,0,14000,12
LC1002,Fully Paid,6.03%,1,2.32,3,0,0,0,30000,2,RENT,debt_consolidation,5,2 years,Source Verified,0,6000,5
LC10020,Fully Paid,5.42%,1,15.29,15,0,3,1-4,130000,10,MORTGAGE,major_purchase,7,3 years,Source Verified,0,3600,3
LC10021,Fully Paid,9.99%,7,15.3,15,0,0,0,65004,5,MORTGAGE,debt_consolidation,5,n/a,Verified,1,7000,6
LC10022,Charged Off,11.49%,10,4.97,5,1,2,1-4,42000,3,MORTGAGE,major_purchase,12,6 years,Not Verified,0,5600,5
LC10023,Fully Paid,15.23%,15,22.74,22,0,1,1-4,120000,9,MORTGAGE,debt_consolidation,10,2 years,Verified,0,8000,7
LC10024,Fully Paid,8.49%,5,3.64,4,0,0,0,62000,5,RENT,credit_card,7,10+ years,Verified,0,25000,21
LC10025,Fully Paid,6.99%,3,28.28,28,0,0,0,39000,3,OWN,car,13,5 years,Not Verified,1,5000,4
LC10026,Fully Paid,10.99%,9,18.83,19,0,0,0,28800,2,RENT,debt_consolidation,13,6 years,Verified,0,22250,19
LC10027,Fully Paid,16.89%,18,17.17,17,0,2,1-4,45000,4,MORTGAGE,debt_consolidation,9,7 years,Verified,2,5600,5
LC10028,Fully Paid,9.99%,7,21.97,22,0,1,1-4,42000,3,OWN,car,4,LT 1year,Source Verified,0,5000,4
LC10029,Fully Paid,6.99%,3,18.85,19,0,2,1-4,138000,11,MORTGAGE,credit_card,14,10+ years,Not Verified,0,13000,11
